Sample ID,Firmicutes,Proteobacteria,Bacteroidetes,Actinobacteria,delta/epsilon subdivisions,Tenericutes,Fusobacteria,Cyanobacteria,Synergistetes,Spirochaetes,Armatimonadetes,Deinococcus-Thermus,Chloroflexi,Candidatus Melainabacteria
UAB 17001,11.7804,73.2553,14.6796,0.2303,0.0543,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UAB 17002,65.1915,22.6588,5.8095,6.3360,0.0042,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UAB 17003,73.9002,4.0203,6.5004,10.7413,3.4142,0.0000,1.4236,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UAB 17004,62.0901,27.6868,2.4472,5.0871,0.0411,0.0016,0.0963,1.9783,0.2668,0.3047,0.0000,0.0000,0.0000,0.0000
UAB 17005,82.8774,13.8986,0.3111,0.5897,2.3233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UAB 17006,81.0784,7.3170,0.0379,11.5320,0.0076,0.0000,0.0000,0.0000,0.0271,0.0000,0.0000,0.0000,0.0000,0.0000
UAB 17007,46.5883,19.9956,11.1109,2.2846,19.9841,0.0083,0.0115,0.0000,0.0167,0.0000,0.0000,0.0000,0.0000,0.0000
UAB 17008,52.2394,30.0291,2.2176,13.6448,1.2491,0.0000,0.6064,0.0015,0.0075,0.0000,0.0030,0.0000,0.0000,0.0015
UAB 17009,70.8072,14.8731,1.1692,12.7530,0.2945,0.0000,0.1030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UAB 17010,60.1896,29.3131,2.8087,4.5518,0.0366,0.0000,0.1075,2.2857,0.3404,0.3666,0.0000,0.0000,0.0000,0.0000
UAB 17012,97.2261,0.0665,0.1533,2.4269,0.0303,0.0000,0.0000,0.0000,0.0968,0.0000,0.0000,0.0000,0.0000,0.0000
UAB 17013,98.1233,0.0697,0.0048,1.6948,0.0569,0.0000,0.0505,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UAB 17014,93.6038,2.6376,0.3814,0.7649,2.6116,0.0000,0.0004,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UAB 17015,77.3181,9.1424,0.0025,13.5339,0.0030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UAB 17016,81.9152,10.4577,1.5692,3.9094,2.1486,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UAB 17017,41.5467,27.9434,1.7662,1.9335,26.7842,0.0000,0.0208,0.0000,0.0000,0.0000,0.0000,0.0052,0.0000,0.0000
UAB 17018,61.8456,20.5653,0.0217,17.3536,0.2138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UAB 17019,88.6088,2.6219,8.6793,0.0881,0.0019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UAB 17020,54.3868,39.0951,4.4158,2.0817,0.0187,0.0000,0.0019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UAB 17021,60.2587,27.4441,4.3757,7.9165,0.0044,0.0000,0.0000,0.0000,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000
UAB 17022,83.2728,9.5085,1.4397,3.5859,2.1931,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UAB 18001,35.5452,23.7300,14.4503,2.5045,23.7217,0.0191,0.0000,0.0000,0.0291,0.0000,0.0000,0.0000,0.0000,0.0000
UAB 18002,34.9390,44.2201,0.3518,19.6288,0.0316,0.0000,0.8235,0.0015,0.0000,0.0007,0.0029,0.0000,0.0000,0.0000
UAB 18003,40.1478,28.5330,1.8215,1.9292,27.5521,0.0000,0.0120,0.0000,0.0000,0.0000,0.0000,0.0044,0.0000,0.0000
UAB 18004,72.0625,24.7852,0.2104,2.9319,0.0093,0.0000,0.0000,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UAB 18005,69.4749,0.5959,22.4840,7.2309,0.2126,0.0000,0.0000,0.0013,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000
UAB 18006,72.4665,0.5947,19.7982,6.7561,0.2552,0.0000,0.1294,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UAB 18007,50.0000,20.0000,0.0000,0.0000,20.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
