Sample ID,Peptoniphilaceae,Campylobacteraceae,Streptococcaceae,Moraxellaceae,Staphylococcaceae,Prevotellaceae,Corynebacteriaceae,Peptostreptococcaceae,Lactobacillaceae,Veillonellaceae,Mycoplasmataceae,Oxalobacteraceae,Propionibacteriaceae,Fusobacteriaceae,Actinomycetaceae,Burkholderiaceae,Bradyrhizobiaceae,Rhodobacteraceae,Caulobacteraceae,Bacillaceae,Porphyromonadaceae,Sphingomonadaceae,Bifidobacteriaceae,Aerococcaceae,Clostridiaceae,Flavobacteriaceae,Neisseriaceae,Deinococcaceae,Paenibacillaceae,Bacteroidaceae,Micrococcaceae,Lachnospiraceae,Comamonadaceae,Enterobacteriaceae,Intrasporangiaceae,Thermoanaerobacteraceae,Pasteurellaceae,Promicromonosporaceae,Methylobacteriaceae,Listeriaceae,Erysipelotrichaceae,Hungateiclostridiaceae,Tissierellaceae,Steroidobacteraceae,Acidiferrobacteraceae,Erwiniaceae,Enterococcaceae,Spirochaetaceae,Sinobacteraceae,Alteromonadaceae,Thermoanaerobacterales.Family.III..Incertae.Sedis,Leptotrichiaceae,Atopobiaceae,Piscirickettsiaceae,Clostridiales.Family.XIII..Incertae.Sedis,Dermabacteraceae,Gottschalkiaceae,Phyllobacteriaceae,Muribaculaceae,Peptococcaceae,Sterolibacteriaceae,Selenomonadaceae,Rhizobiaceae,Ruminococcaceae,Rhodospirillaceae,Xanthomonadaceae,Marinilabiliaceae,Carnobacteriaceae,Brevibacteriaceae,Nocardiaceae,Helicobacteraceae,Alcaligenaceae,Dysgonamonadaceae,Microbacteriaceae,Deferribacteraceae,Planococcaceae,Syntrophomonadaceae,Thermoactinomycetaceae,Leuconostocaceae,Synergistaceae,Pseudomonadaceae,Hydrogenophilaceae,Sporomusaceae,Eubacteriaceae,Christensenellaceae,Pseudonocardiaceae,Shewanellaceae,Sutterellaceae,Streptomycetaceae,Tannerellaceae,Hyphomicrobiaceae,Thermoanaerobacterales.Family.IV..Incertae.Sedis,Eggerthellaceae,Vibrionaceae,Chromatiaceae,Merismopediaceae,Gemmatimonadaceae,Sphingobacteriaceae,Yersiniaceae,Symbiobacteriaceae,Anaplasmataceae,Aurantimonadaceae,Barnesiellaceae,Rhodanobacteraceae,Dietziaceae,Coxiellaceae,Isosphaeraceae,Flammeovirgaceae,Planctomycetaceae,Chitinophagaceae,Halobacteroidaceae,Dermacoccaceae,Hymenobacteraceae,Pelagibacteraceae,Acetobacteraceae,Idiomarinaceae,Alicyclobacillaceae,Mycobacteriaceae,Marinifilaceae,Desulfobacteraceae,Actinopolysporaceae,Clostridiales.Family.XVII..Incertae.Sedis,Morganellaceae,Rhodobiaceae,Acidobacteriaceae,Desulfovibrionaceae,Chelatococcaceae,Oscillospiraceae,Chrysiogenaceae,Pectobacteriaceae,Streptosporangiaceae,Xanthobacteraceae,Nocardioidaceae,Hyphomonadaceae,Odoribacteraceae,Cytophagaceae,Rubrobacteraceae,Rikenellaceae,Dictyoglomaceae,Rickettsiaceae,Erythrobacteraceae,Oscillatoriaceae,Chlorobiaceae,Brucellaceae,Brachyspiraceae,Coriobacteriaceae,Cohaesibacteraceae,Acidaminococcaceae,Sanguibacteraceae,Acholeplasmataceae,Kosmotogaceae,Ectothiorhodospiraceae,Micromonosporaceae,Vicinamibacteraceae,Psychromonadaceae,Cyclobacteriaceae,Bartonellaceae,Gallionellaceae,Desulfobulbaceae,Francisellaceae,Chromobacteriaceae,Halanaerobiaceae,Aphanothecaceae,Natranaerobiaceae,Thermotogaceae,Oceanospirillaceae,Aeromonadaceae,Thermaceae,Aquificaceae,Euzebyaceae,Anaerolineaceae,Heliobacteriaceae,Waddliaceae,Gordoniaceae,Parachlamydiaceae,Microcoleaceae,Conexibacteraceae,Halomonadaceae,Gloeomargaritaceae,Bogoriellaceae,Beijerinckiaceae,Nakamurellaceae,Entomoplasmataceae,Methylococcaceae,Alcanivoracaceae,Nostocaceae,Spiroplasmataceae,Hafniaceae,Aphanizomenonaceae,Nitrosomonadaceae,Pseudoalteromonadaceae,Mesoaciditogaceae,Cellulomonadaceae,Nocardiopsaceae,Desulfurellaceae,Colwelliaceae,Rhodothermaceae,Methylocystaceae,Hahellaceae,Desulfurobacteriaceae,Candidatus.Brocadiaceae,Thermomonosporaceae,Beutenbergiaceae,Borreliaceae,Methylophilaceae,Cryomorphaceae,Acidothermaceae,Synechococcaceae,Zoogloeaceae,Chloroflexaceae,Labilitrichaceae,Egibacteraceae,Leptospiraceae,Kangiellaceae,Thermodesulfobacteriaceae,Candidatus.Nanopelagicaceae,Gloeobacteraceae,Holosporaceae,Moritellaceae,Bdellovibrionaceae,Legionellaceae,Halothiobacillaceae,Chlamydiaceae,Clostridiales.Family.XVI..Incertae.Sedis,Parvularculaceae,Nitrospiraceae,Thermomicrobiaceae,Kineosporiaceae,Glycomycetaceae,Petrotogaceae,Desulfomicrobiaceae,Ruaniaceae,Azonexaceae,Nautiliaceae,Halieaceae,Cellvibrionaceae,Candidatus.Midichloriaceae,Fibrobacteraceae,Thiobacillaceae,Scytonemataceae,Pseudanabaenaceae,Akkermansiaceae,Microbulbiferaceae,Geobacteraceae,Candidatus.Deianiraeaceae,Frankiaceae,Budviciaceae,Paludibacteraceae,Amoebophilaceae,Microcystaceae,Ardenticatenaceae,Blattabacteriaceae,Prolixibacteraceae,Thiotrichaceae,Ktedonosporobacteraceae,Dehalococcoidaceae,Halobacteriovoraceae,Geodermatophilaceae,Fervidobacteriaceae,Sporichthyaceae,Salinivirgaceae,Kiritimatiellaceae,Magnetococcaceae,Sandaracinaceae,Spongiibacteraceae,Woeseiaceae,Coprothermobacteraceae,Emcibacteraceae,Dermocarpellaceae,Tepidiformaceae,Ilumatobacteraceae,Opitutaceae,Syntrophaceae,Methylacidiphilaceae,Rhodocyclaceae,Cardiobacteriaceae,Haliscomenobacteraceae,Roseiflexaceae,Tsukamurellaceae,Simkaniaceae,Acidimicrobiaceae,Acaryochloridaceae,Sphaerobacteraceae,Limnochordaceae,Chthonomonadaceae,Egicoccaceae,Jiangellaceae,Orbaceae,Bernardetiaceae,Succinivibrionaceae,Sporolactobacillaceae,Gemmataceae
UAB 17001,46.4265,0.6828,0.065,6.7373,1.8859,1.6713,5.144,0.3967,0.065,0.4032,0.026,7.7063,9.007,0.013,0.3382,0.026,0.8844,1.7949,2.042,0.0325,0.0975,0.7934,0.0065,0,0.0195,1.1641,0.013,0,0.0065,0.0325,2.016,0.0065,0.0585,0.0065,0.0065,0.039,0,0.0455,0.026,0.0065,0,0.0065,0.052,0,0,0,0.1041,0.013,0,0.039,0,0,0.0065,0,0,0.013,0.0065,0.1171,0.026,0.0065,0,0,0.2796,0,0,0,0.0065,0.0065,0,0,0.0065,0,0,0.1236,0,0.0065,0.1561,0,0,0,0,0,0,0,0,0,0,0.0065,0.013,0.0065,0,0,0,0.0065,0.0065,0.065,0.013,0,0,0,0.0065,0.0195,0,0.091,0,0,0,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065,0,0,0,0.0065,0,0,0.0065,0.0325,0,0,0,0.0065,0,0.0065,0.0325,0,0,0,0,0,0.0065,0,0,0.0065,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,0,0.0065,0,0,0,0,0,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAB 17002,1.6004,0.0081,0.0866,0.3201,1.4494,0,0.5536,0,0.149,6.5686,0.004,1.7956,0.9522,0.006,0.002,0.2617,0,0.006,0,0.4248,0,0.004,0,0.002,0.004,0.0081,0.002,0.002,0.0242,0,0.0523,0.006,0.002,7.3013,0,0.002,0.0161,0,0.0362,0.0081,0.002,0,0.002,0,0.002,2.3392,2.2727,0,0,0.0201,0,0,0,0.002,0.002,0.1288,0,0.002,0,0.002,0.0604,0.0081,0,0.002,0.004,0.0121,0,0.004,0,0,0.002,0.0805,0,0,0,0.0302,0.004,0,0.0282,0,0.2999,0,0.1248,0,0,0,0.0362,0,0.002,0,0,0,0,0.1107,0.002,0,0,0.004,0.304,0,0.004,0,0,0.002,0,0.006,0,0,0,0,0,0,0,0.006,0.002,0.002,0.002,0.0282,0,0,0,0,0.1168,0.002,0,0.002,0,0,0,0.1127,0,0,0,0,0,0.002,0,0,0,0.004,0,0,0,0,0,0,0,0.0181,0,0,0,0,0,0,0,0,0,0,0.002,0.004,0,0,0,0,0,0.002,0.0362,0,0.002,0,0,0,0,0,0,0,0,0.0161,0.004,0,0,0,0,0.006,0,0,0,0.0342,0,0,0.004,0,0,0,0,0.004,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0.0081,0,0,0,0.002,0.002,0,0,0,0.0141,0,0.004,0.006,0,0,0,0.002,0,0,0,0,0,0,0.004,0,0.004,0.002,0,0,0,0,0,0,0.004,0,0,0,0.0081,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0.002,0.002,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAB 17003,41.81,6.9997,5.5466,0.1772,0.4794,20.752,1.4129,1.0206,0.1556,7.2335,0.0052,0.105,0.2672,0.0089,2.2615,0.2419,0.0097,0.3156,0.1667,0.1042,0.562,0.3454,0.0685,0.7757,0.2315,0.0328,0.0022,0,0.0536,0.7295,0.0402,0.1526,0.0007,0.0082,0.0067,0.0179,0.0015,0.303,0.0007,0.0074,0.0931,0.0007,0.032,0.0007,0,0,0.0141,0.006,0,0.0022,0.07,0.0007,0.006,0,0.0015,0.0112,0.0097,0,0.0328,0.0067,0.0007,0.0067,0,0.0089,0,0.0007,0.0007,0.0253,0.0007,0.0112,0.0007,0.0156,0,0.006,0.0007,0.0067,0.006,0.0052,0.0082,0.4466,0.0253,0,0,0.0007,0.003,0.0953,0,0.0886,0.0052,0.0022,0,0.0074,0,0,0,0,0.0022,0,0,0.0007,0.0045,0,0.0462,0,0.0015,0.0007,0.0186,0.0335,0,0,0.006,0,0,0.0007,0.0007,0,0.0007,0.003,0.0007,0.0045,0.0052,0,0,0,0,0.0015,0,0.003,0.003,0,0,0.0015,0.0074,0,0.0015,0.0007,0,0,0.0037,0,0,0,0,0,0.0015,0,0,0,0,0.0007,0,0,0.0007,0,0,0,0.0007,0.0112,0,0,0.0015,0.0015,0,0,0,0.0007,0.0015,0.0022,0.0015,0,0.0134,0.0007,0.0022,0,0,0,0,0,0,0,0,0,0,0.0007,0,0,0,0,0,0,0,0,0.0015,0.0007,0.003,0,0.0015,0,0,0.0015,0.0007,0.0007,0,0,0,0,0,0.0007,0.0022,0,0,0,0,0,0,0.0007,0,0,0,0,0,0,0,0,0,0.0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAB 17004,19.7614,0.2237,0.8203,0.8203,6.4131,0.9694,6.786,0,0,0.1491,0.0746,2.61,1.2677,0,0.0746,0.2237,0.2983,0,0,0.0746,0,0.5966,0.0746,0,0,0,0,0,0.0746,0,0,0.1491,1.1931,0.1491,0,0.0746,0,0,0,0,0,0,0.0746,0,0,0,0.0746,0.0746,0,0,0,0,0.0746,0,0,0,0,0,0,0,0,0,0.0746,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAB 17005,49.7581,1.8944,10.5872,0.7384,8.2395,0.0611,7.7558,0.8453,0.1528,0.8708,0.0356,0.4583,2.48,0.0102,0.3768,0.0204,0.0153,0,1.0083,0.4736,0.4532,0.0153,0.0204,0.6467,0.1426,0.6722,0,0,0.5907,0.2292,0.1222,0.0356,0.0153,0.0255,0.0051,0.0407,0.0102,0.2292,0,0.0051,0.0102,0,0.0662,0,0,0,0.0204,0.1375,0,0.0306,0,0,0.0509,0,0.0102,0.0713,0.0051,0.0051,0.0153,0.0866,0,0.0051,0.0102,0.1375,0.0102,0.0051,0,0.0051,0.1681,0,0.0255,0,0,0.0356,0,0.0204,0,0.0102,0.0051,0,0.0051,0,0,0.0051,0.0051,0.0102,0,0,0.0204,0,0,0.0713,0,0.0051,0,0,0,0,0,0,0,0,0.112,0,0.0051,0,0,0.0356,0,0,0,0.0153,0.1171,0,0,0,0,0.0051,0,0,0,0,0.0051,0,0,0,0,0,0.0051,0,0,0,0,0.0102,0,0.0051,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0051,0,0,0,0,0,0,0,0,0,0.0051,0,0,0,0,0.0051,0,0,0,0.0051,0,0.0051,0.0051,0,0,0.0407,0,0,0,0,0,0,0.0306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0051,0,0.0102,0,0,0,0,0,0.0051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAB 17006,61.8284,0.0064,6.033,0.5749,3.2758,0.0064,8.3325,0.0128,0.0241,0.5363,0.0096,0.9266,0.4673,0,1.8981,2.7797,3.422,1.3489,0.0369,0.3115,0,0.5187,0.0064,0.0064,0.053,0.2039,0.0016,0.0048,0.0771,0,0.0096,0.0401,0,0.0225,0,0.0658,0.0032,1.0582,0.0434,0.0016,0.0016,0,0.0016,0.0112,0.0048,0,0.0112,0.0257,0.0032,0,0.0016,0,0.0112,0.0016,0,0,0,0,0,0,0,0.0016,0.0032,0.0016,0.0273,0,0,0.0032,0,0,0.0016,0.0128,0,0.008,0.0016,0.0064,0,0.0016,0,0.0016,0.0016,0,0,0.0032,0.0016,0.2088,0,0,0.0048,0,0.0016,0.053,0,0,0,0,0.0016,0.0016,0,0,0.0048,0,0,0.0016,0,0.0032,0,0.0016,0,0.0016,0.0096,0,0,0.0016,0,0,0,0.0064,0,0,0.0032,0,0.0032,0,0.008,0.0016,0,0,0.0016,0.0048,0,0,0.0032,0,0,0.0048,0.0016,0,0,0.0016,0,0,0.0016,0,0.0016,0,0,0,0,0,0,0,0.0177,0.0915,0,0,0,0,0.0016,0,0.0016,0.0032,0,0,0,0,0,0,0,0,0.0016,0.0016,0,0,0,0,0,0,0,0,0,0,0,0.0016,0,0,0,0,0,0,0,0,0.0016,0,0.0016,0,0,0,0,0,0,0,0,0,0.0032,0,0,0,0,0,0,0,0,0,0,0.0016,0,0,0,0,0.0016,0,0,0.0016,0,0,0,0,0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAB 17007,0.2657,0.0079,23.4195,0.0053,30.6832,0.5117,4.0344,0.0184,1.6942,0.9287,21.2925,0,0.0145,0.0053,0.6998,0.0934,0.2789,0,0.2078,0.5025,0,0,0.0092,0.0145,0.0118,0.0013,0.0026,0.0039,0.0355,0,0.0039,0.0237,0,0.0224,0,0.0039,0.0092,0,0,0.0145,0.0053,0.0013,0,0,0,0.0013,0.0276,0.0039,0,0,0,0.0053,0.0013,0,0.0013,0,0,0.0013,0,0.0039,0,0,0.0013,0.0013,0.0013,0,0,0.0079,0,0.0013,0.0013,0.0026,0,0.0013,0,0.0342,0.0013,0,0.0092,0.0013,0.0013,0,0.0053,0.0013,0,0,0,0,0.0092,0,0.0013,0.0026,0,0,0,0,0.0013,0,0.0079,0.0013,0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026,0,0.0013,0.0026,0,0,0.0079,0,0.0079,0,0,0.0026,0,0.0013,0.0053,0,0.0013,0,0,0,0.0013,0.0053,0,0,0.0013,0.0039,0,0.0053,0.0026,0.0013,0,0,0,0.0013,0,0.0026,0,0,0,0,0,0,0,0,0.0079,0.0066,0,0,0,0,0,0,0,0.0013,0,0,0,0.0039,0,0.0013,0,0.0053,0,0,0,0,0,0.0013,0,0,0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026,0.0013,0,0,0,0,0,0,0,0,0,0,0,0.0013,0,0,0,0,0,0,0,0.0013,0,0,0,0.0026,0,0,0.0013,0,0,0,0,0,0,0.0026,0,0,0,0,0,0,0,0.0013,0.0013,0,0,0,0.0039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAB 17008,51.0829,9.2802,0.0739,0.0012,1.2485,2.2524,1.1136,0.0829,0.0427,6.4257,0.0073,0.0215,0.5505,1.6653,6.2599,0.0345,0.0167,0.0122,0,0.3413,0.0488,0.0008,0.0057,0.0028,0.4879,0.0061,0.0033,0.002,0.1804,0.0857,0.0325,0.1016,0.0004,0.0049,0.0106,0.0999,0.0024,0,0.0008,0.0065,0.0585,0.0024,0.6769,0,0,0.0073,0.037,0.0898,0.0004,0.1694,0.4762,0.002,0.0203,0.0008,0.0727,0.0654,0.3027,0.0008,0.0004,0.0536,0,0.0028,0.0004,0.0752,0.0004,0.0041,0,0.0037,0.0045,0.106,0.0163,0.0065,0,0.0329,0.002,0.0012,0.002,0.0049,0.0008,0.0008,0.0004,0,0.0004,0.0073,0.0264,0.011,0,0.0362,0.013,0.0386,0,0.0613,0.0093,0.0012,0.0008,0,0.0004,0,0.0004,0,0.0053,0,0,0.002,0.0028,0.0158,0.0829,0.0004,0,0,0.0183,0.0012,0.0098,0.0077,0.0008,0,0.0102,0.0057,0.0012,0.0008,0.0024,0,0.0012,0.0004,0,0.013,0,0.0223,0.0057,0.0016,0,0.0004,0.0098,0.0004,0.0012,0.0061,0,0.0004,0.0179,0.0004,0,0.0008,0.0089,0.0004,0,0.0012,0,0.0008,0,0.0037,0,0.0016,0,0,0,0.0028,0,0.0085,0.0004,0,0,0.0024,0,0.0012,0.0012,0.0004,0,0.0008,0.0004,0,0,0.002,0,0.0004,0,0.0012,0,0.0004,0,0.0033,0.0004,0,0.0028,0.0004,0.0004,0,0,0,0.0004,0.0004,0.0004,0.0057,0.0004,0.0008,0,0.0016,0.0012,0,0,0.0012,0,0,0,0.0008,0.0004,0,0.0008,0.0008,0.0024,0,0.002,0,0.0024,0.0004,0.0004,0,0,0,0,0,0,0,0.0008,0,0,0,0.0012,0,0.0008,0.0004,0.0004,0,0,0,0,0,0.0004,0.0004,0,0,0.0008,0.0004,0.0004,0,0.0004,0.0016,0,0,0,0,0,0,0,0,0,0.0004,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0.0004,0,0,0,0,0,0,0,0,0.0004,0,0,0.0012,0,0,0.0004,0,0,0,0.0004,0,0
UAB 17009,43.6255,0.7628,5.454,0.0011,0.1193,9.983,0.1464,0.1312,0.091,4.1038,0.0023,0.0147,0.4574,17.3295,1.0884,0.0769,0.0147,0.0017,0.0006,0.2567,0.1317,0,0.5462,0.2448,0.3613,0.1006,0.4054,0.0158,0.0339,0.346,0.0515,0.121,0.0006,0.0288,0.0062,0.117,0.1447,0.0057,0.0006,0.0548,0.1753,0.6678,0.0639,0,0,0.0221,0.0373,0.0769,0,0.0356,0.0249,0.5869,0.151,0,0.1809,0.0752,0.0209,0.0017,0.0277,0.0775,0,0.0633,0.0006,0.1611,0,0,0,0.0515,0.0017,0.0215,0.0028,0.0011,0,0.0175,0.0017,0.0107,0.2069,0.0023,0.0023,0.0011,0.0011,0,0.0006,0.0028,0.0243,0.0181,0,0,0.0051,0.0243,0,0.0062,0.0254,0.0028,0,0.0119,0,0.0136,0.0011,0.0006,0.0017,0,0.0011,0,0,0.0028,0,0.0023,0,0,0.0045,0,0.0006,0.0362,0.0011,0,0.0017,0.0034,0,0.0011,0,0,0,0,0,0.0028,0,0.0034,0.0057,0,0,0,0.0045,0,0.0023,0.0062,0.0051,0.0006,0.0051,0,0,0,0.0011,0,0,0.0113,0,0,0,0.0006,0,0,0,0,0,0.0011,0,0,0,0.0006,0.0006,0.0023,0,0.0023,0.0011,0,0.0006,0,0.0051,0.0006,0.0006,0.0006,0,0,0.0006,0.0034,0,0,0,0,0,0,0.0017,0,0,0,0,0,0,0,0,0.0011,0,0.0017,0.0017,0.0011,0.0011,0,0,0.0006,0,0,0,0,0,0,0,0.0006,0,0,0,0,0,0,0.0006,0,0,0.0011,0,0.0006,0.0006,0,0,0,0,0.0006,0.0006,0,0.0006,0.0006,0,0,0,0,0,0.0006,0,0,0,0,0.0006,0,0,0,0,0,0,0,0.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0,0.0006,0,0,0,0,0,0,0,0,0,0,0,0.0006,0.0006,0,0,0,0,0,0,0,0,0,0
UAB 17010,12.4375,0.0407,24.5607,12.8741,0.0477,2.8241,1.6057,1.464,0.2456,7.668,0.0842,0.4435,0.7509,0,0.8394,0.8717,0.3874,0.9362,0,0.1783,0.3397,0.0028,0.0028,0.0154,0.1221,0.0519,9.2597,0.0028,0.073,0.2218,1.2282,0.5895,0.0014,0.0646,0,0.0604,1.6886,0.2976,0.0056,0.0042,0.014,0,0.0056,0.0604,0.0575,0.0028,0.0758,0.4478,0.0309,0.0014,0.1572,0.1488,0.0309,0.0351,0.2709,0.1053,0.0014,0.0211,0.1039,0.0281,0,0.8394,0.0042,0.0126,0,0.0028,0,0.6358,0.014,0.0014,0.0225,0,0,0.1362,0.0126,0.0281,0.0014,0.0014,0.007,0.0983,0.0182,0.0014,0.0084,0,0.0281,0.0239,0,0,0.0168,0.0646,0,0,0,0.0112,0,0,0.007,0.0491,0.0042,0,0.0084,0,0,0.0014,0.0014,0.0014,0.0042,0.0211,0.0028,0,0.007,0,0.0014,0,0.007,0.0014,0.0014,0.0042,0,0.0028,0.0014,0.0014,0.0042,0,0,0.0056,0.0014,0,0.0014,0,0,0,0,0,0.0014,0.0337,0,0.0014,0,0,0,0,0,0,0.0014,0,0,0,0,0,0,0.0028,0.0014,0,0,0,0,0.0014,0,0,0.007,0.007,0,0.0014,0,0,0.0056,0,0,0.0014,0,0.0014,0,0,0,0,0,0.0028,0.0014,0,0,0,0,0.0014,0,0,0,0,0,0.0014,0.0028,0,0.0014,0.0098,0.0056,0.0014,0,0,0,0,0.0028,0,0,0,0.0014,0,0,0,0,0,0,0,0,0,0.0028,0,0,0,0,0.0014,0.0014,0,0.0014,0.0014,0,0,0,0,0,0.0014,0,0.0028,0,0,0.0028,0,0,0.0014,0,0,0,0,0,0,0,0,0,0.0014,0.0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014,0,0,0,0.0014,0,0,0,0.0014,0,0,0,0,0,0,0.0014,0,0,0,0,0.0014,0,0,0
